year,state_code,state_name,crop_name,policies_earning_premium,total_premium,producer_paid_premium,total_liability,indemnities,loss_ratio,ecoregion
2000,01,Alabama,Corn,1640,9018805.651961362,5591659.504216044,132771070.53456575,50248218.77257719,5.571493689039576,
2000,01,Alabama,Soybeans,7013,80956335.35187389,50192927.91816181,712062140.7386587,168905393.3050498,2.086376471599269,
2000,01,Alabama,Wheat,2686,32431333.4752109,20107426.75463076,333389794.658546,119861382.96344092,3.6958512068292766,
2000,01,Alabama,Cotton,581,85879940.34975728,53245563.01684952,1131510874.3256063,338276094.52161545,3.9389418896187145,
2000,01,Alabama,Rice,7465,70080985.2548,43450210.857976004,820595567.9345167,207926820.01707673,2.9669505824025975,
2000,01,Alabama,Other,3908,35428134.32166049,21965443.279429503,341245095.19471157,102335967.26406369,2.888550843093543,
2000,02,Alaska,Corn,4598,30431054.917861227,18867254.04907396,355045495.0446709,81678629.38950253,2.684055140709631,
2000,02,Alaska,Soybeans,8883,45094002.31181362,27958281.433324445,675606800.6867932,84717630.27670309,1.8786895359365554,
2000,02,Alaska,Wheat,9641,10796061.464039441,6693558.107704453,116029555.79151388,13111410.50591077,1.214462380524927,
2000,02,Alaska,Cotton,1425,98880220.17559177,61305736.5088669,920085770.9406816,158449243.583266,1.602436193021126,
2000,02,Alaska,Rice,1426,56637043.36487166,35114966.886220425,580540044.3305933,228462976.8473237,4.033808321799239,
2000,02,Alaska,Other,7691,22702711.634840135,14075681.213600883,323743091.3424892,113844116.9818274,5.014560322702573,
2000,04,Arizona,Corn,6511,47563194.46120226,29489180.565945398,542214278.8107475,171100357.6412657,3.597326873846412,
2000,04,Arizona,Soybeans,535,82942406.30451906,51424291.90880182,837465628.4793429,55908907.889340624,0.6740690363391889,
2000,04,Arizona,Wheat,2730,8046989.795419108,4989133.673159847,87978969.14039245,18031880.03827448,2.2408230278283,
2000,04,Arizona,Cotton,2117,16216954.841754746,10054512.001887942,204715847.98045233,25288204.210903294,1.5593682326716647,
2000,04,Arizona,Rice,3812,96677338.62544933,59939949.94777858,1400027371.356454,473112551.958468,4.893727513449837,
2000,04,Arizona,Other,7573,36268141.02893276,22486247.43793831,356986794.99644095,81813541.61755213,2.255796390343958,
2000,05,Arkansas,Corn,4589,27209660.978861716,16869989.806894265,385346794.3279287,148428141.34857726,5.454979445127456,
2000,05,Arkansas,Soybeans,2019,82471330.1428026,51132224.68853761,978005962.2713729,220388632.16212136,2.6723060217473042,
2000,05,Arkansas,Wheat,2031,67790764.68128642,42030274.10239758,582960888.4645548,137576495.96972045,2.029428294790991,
2000,05,Arkansas,Cotton,9337,18526571.28730047,11486474.198126292,268342302.56133842,73416322.59548558,3.9627582166707094,
2000,05,Arkansas,Rice,8543,98850325.86045764,61287202.033483736,1405677651.611356,135953214.4873906,1.375344120557674,
2000,05,Arkansas,Other,420,79054414.79935285,49013737.17559877,731957134.6820035,277680328.3682805,3.5125214584543807,
2000,06,California,Corn,4360,95107813.94842023,58966844.64802054,985279533.9837053,174429407.27814966,1.8340176273292106,
2000,06,California,Soybeans,2425,74147391.49720807,45971382.728269,969297810.4914695,308261265.8241002,4.157412143564179,
2000,06,California,Wheat,7661,51843382.93153695,32142897.417552907,709450570.0532069,244781617.7260359,4.7215595102906045,
2000,06,California,Cotton,7911,11150832.88955659,6913516.391525086,141480051.86977735,36477533.5043007,3.271283308214945,
2000,06,California,Rice,1006,93155356.56993136,57756321.07335744,1330457125.173035,253962061.65289065,2.7262207027487713,
2000,06,California,Other,8307,34650798.95879175,21483495.354450885,352463566.05027646,28865876.657649357,0.8330508249457084,
2000,08,Colorado,Corn,2799,87139634.41682938,54026573.33843421,1249431540.512575,373082970.0030077,4.281438320229557,
2000,08,Colorado,Soybeans,2797,68872952.94198315,42701230.82402955,686229580.6838591,106744810.5885372,1.549879975067373,
2000,08,Colorado,Wheat,7189,93984772.03389227,58270558.66101321,939451395.2389032,247046657.4625222,2.628581759749692,
2000,08,Colorado,Cotton,3870,2371835.9165108576,1470538.2682367316,21442687.71173275,6627809.891250145,2.794379596460506,
2000,08,Colorado,Rice,6976,17907206.85359226,11102468.249227202,252088447.6022292,83989387.61483364,4.690256180180608,
2000,08,Colorado,Other,7218,25483906.92317732,15800022.29236994,361016235.71189004,58109813.089470536,2.2802552710871944,
2000,09,Connecticut,Corn,1578,16420614.522385214,10180781.003878832,206350273.54692477,13228201.633379426,0.8055850537960216,
2000,09,Connecticut,Soybeans,2013,97487902.1330687,60442499.32250259,1303535788.7868571,229120536.58455867,2.3502458414974865,
2000,09,Connecticut,Wheat,7536,13384581.511899985,8298440.537377991,152077633.16894346,13718296.060716929,1.024932759273814,
2000,09,Connecticut,Cotton,9468,6953348.309427933,4311075.951845318,71577184.72733219,13048608.59433399,1.8765935508568716,
2000,09,Connecticut,Rice,3738,95647789.77811217,59301629.66242955,1253114091.4444752,192221955.9885954,2.0096852884370886,
2000,09,Connecticut,Other,5321,11556052.436386732,7164752.510559774,101271444.32052308,10522389.99186823,0.9105522884905063,
2000,10,Delaware,Corn,8804,6721670.196195153,4167435.5216409946,72197069.7501915,9713258.669537071,1.4450662388992734,WestMnts
2000,10,Delaware,Soybeans,6479,49896458.865980625,30935804.496907987,649960556.9814849,147648066.66058102,2.9590890819959044,WestMnts
2000,10,Delaware,Wheat,6715,37594439.63519144,23308552.573818695,301334797.1551764,59253247.66522294,1.576117325865315,WestMnts
2000,10,Delaware,Cotton,6801,24915840.71490978,15447821.243244063,360549584.8702471,75080872.21543217,3.0133790416513357,WestMnts
2000,10,Delaware,Rice,8371,41057764.86420034,25455814.215804208,596513149.3754467,134541347.94875604,3.2768794987685075,WestMnts
2000,10,Delaware,Other,9283,54683361.602851495,33903684.19376793,779555403.0894548,205687439.1896036,3.761426385660934,WestMnts
2000,11,District of Columbia,Corn,7823,9131770.27826896,5661697.572526755,126623973.42404222,28594379.175732825,3.1313073264424305,SECstPlain
2000,11,District of Columbia,Soybeans,9979,61213273.4821312,37952229.558921345,814143029.6459149,198373188.31953615,3.240689102788195,SECstPlain
2000,11,District of Columbia,Wheat,8676,94622386.61159049,58665879.6991861,1075254873.6578753,148785145.08900833,1.5724095577904535,SECstPlain
2000,11,District of Columbia,Cotton,4041,2443097.4401311567,1514720.412881317,21731459.032126702,3442868.532643342,1.4092227661859091,SECstPlain
2000,11,District of Columbia,Rice,9775,15107796.6733031,9366833.937447922,194948989.98982167,26297421.71709914,1.7406523456573362,SECstPlain
2000,11,District of Columbia,Other,2971,49056220.05957764,30414856.436938133,703509997.8594031,114999260.64214996,2.3442340339815426,SECstPlain
2000,12,Florida,Corn,5116,38413071.869955026,23816104.559372116,374009726.463448,75628392.57982652,1.968819177905416,NorthEast
2000,12,Florida,Soybeans,7152,65988014.07204581,40912568.724668406,637460232.5824256,101243192.0903954,1.5342663893454642,NorthEast
2000,12,Florida,Wheat,2175,58698259.715589575,36392921.02366554,490048676.53307945,152992125.23539737,2.6064167145106083,NorthEast
2000,12,Florida,Cotton,5718,58226297.28783533,36100304.3184579,477523440.5678292,72642610.85681267,1.2475911098676233,NorthEast
2000,12,Florida,Rice,3017,25307967.936527032,15690940.12064676,324436595.391995,34342203.96821901,1.3569720040087792,NorthEast
2000,12,Florida,Other,2895,42608472.459183365,26417252.924693685,366063996.3047753,110182835.42059565,2.585937234106313,NorthEast
2000,13,Georgia,Corn,1650,95678467.38111565,59320649.7762917,944636822.1705431,245543315.48603004,2.5663383016782486,NorthEast
