Station_ID,Total_Events,Years_Covered,Year_Range,Duration_Tau,Duration_P_Value,Duration_Trend,Flow_Percentile_Tau,Flow_Percentile_P_Value,Flow_Percentile_Trend,Event_Count_Tau,Event_Count_P_Value,Event_Count_Trend,Winter_Duration_Tau,Winter_Duration_P_Value,Winter_Duration_Trend,Winter_Flow_Tau,Winter_Flow_P_Value,Winter_Flow_Trend,Winter_Count_Tau,Winter_Count_P_Value,Winter_Count_Trend,Spring_Duration_Tau,Spring_Duration_P_Value,Spring_Duration_Trend,Spring_Flow_Tau,Spring_Flow_P_Value,Spring_Flow_Trend,Spring_Count_Tau,Spring_Count_P_Value,Spring_Count_Trend,Summer_Duration_Tau,Summer_Duration_P_Value,Summer_Duration_Trend,Summer_Flow_Tau,Summer_Flow_P_Value,Summer_Flow_Trend,Summer_Count_Tau,Summer_Count_P_Value,Summer_Count_Trend,Fall_Duration_Tau,Fall_Duration_P_Value,Fall_Duration_Trend,Fall_Flow_Tau,Fall_Flow_P_Value,Fall_Flow_Trend,Fall_Count_Tau,Fall_Count_P_Value,Fall_Count_Trend
2334578,28,11,2002-2024,0.12727272727272726,0.640428787412791,no_trend,0.3090909090909091,0.21291190281150452,no_trend,-0.41818181818181815,0.0867681727038756,decreasing,0.0,1.0,no_trend,0.0,1.0,no_trend,0.0,1.0,no_trend,0.6666666666666666,0.3081795474670539,no_trend,-1.0,0.08942935902899363,decreasing,0.16666666666666666,1.0,no_trend,-0.06666666666666667,1.0,no_trend,-0.2,0.7071142312899612,no_trend,-0.13333333333333333,0.8509806870320558,no_trend,-0.23809523809523808,0.5480055723613093,no_trend,0.42857142857142855,0.22955621387891956,no_trend,-0.47619047619047616,0.17647429077406906,no_trend
6902000,41,16,1995-2024,-0.20833333333333334,0.27990160412230525,no_trend,0.05,0.8218916912511594,no_trend,0.125,0.5284883562390079,no_trend,-0.6111111111111112,0.028567681801513034,decreasing,-0.1111111111111111,0.7544541774940892,no_trend,0.1111111111111111,0.7544541774940892,no_trend,0.047619047619047616,1.0,no_trend,-0.42857142857142855,0.22955621387891956,no_trend,0.14285714285714285,0.7638905934705396,no_trend,-0.14285714285714285,0.7105230229164894,no_trend,0.0,1.0,no_trend,-0.10714285714285714,0.8045709480174357,no_trend,0.1111111111111111,0.7544541774940892,no_trend,0.1111111111111111,0.7544541774940892,no_trend,-0.1111111111111111,0.7544541774940892,no_trend
11467200,17,10,2008-2021,0.28888888888888886,0.28313087066234655,no_trend,-0.15555555555555556,0.5915050369949166,no_trend,0.28888888888888886,0.28313087066234655,no_trend,-0.06666666666666667,1.0,no_trend,0.7333333333333333,0.060289173990602185,increasing,0.3333333333333333,0.4523703606773608,no_trend,1.0,0.2962698714842864,no_trend,-0.3333333333333333,1.0,no_trend,0.0,1.0,no_trend,,,insufficient_data,,,insufficient_data,,,insufficient_data,0.06666666666666667,1.0,no_trend,-0.3333333333333333,0.4523703606773608,no_trend,-0.2,0.7071142312899612,no_trend
1174565,48,21,1995-2024,-0.0380952380952381,0.8325919676656739,no_trend,0.2,0.21568869559132287,no_trend,-0.06190476190476191,0.7170807365200278,no_trend,-0.3611111111111111,0.21090292605661043,no_trend,0.5,0.07633274037635718,increasing,0.16666666666666666,0.6021675277481957,no_trend,-0.12121212121212122,0.6312218204782534,no_trend,-0.030303030303030304,0.9453298708327,no_trend,-0.16666666666666666,0.49288623517292063,no_trend,-0.3090909090909091,0.21291190281150452,no_trend,-0.01818181818181818,1.0,no_trend,0.14545454545454545,0.5857884148093631,no_trend,0.16666666666666666,0.6021675277481957,no_trend,-0.1111111111111111,0.7544541774940892,no_trend,0.0,1.0,no_trend
6437020,27,14,1992-2024,-0.27472527472527475,0.18888747753953772,no_trend,0.5384615384615384,0.00859504637602404,increasing,-0.5384615384615384,0.00859504637602404,decreasing,-0.3333333333333333,1.0,no_trend,-1.0,0.2962698714842864,no_trend,0.0,1.0,no_trend,-0.2,0.4742743507673295,no_trend,0.5555555555555556,0.03182312738649018,increasing,-0.2,0.4742743507673295,no_trend,0.0,1.0,no_trend,0.7142857142857143,0.018741136789596657,increasing,0.03571428571428571,1.0,no_trend,0.6666666666666666,0.3081795474670539,no_trend,0.3333333333333333,0.7340951823194757,no_trend,0.0,1.0,no_trend
2297100,52,26,1993-2024,0.19076923076923077,0.17877557696694457,no_trend,-0.26153846153846155,0.06409905424175921,decreasing,0.22153846153846155,0.11759460931750332,no_trend,-0.15555555555555556,0.5915050369949166,no_trend,-0.6,0.020044668622627437,decreasing,0.044444444444444446,0.9287300745648026,no_trend,-0.3333333333333333,0.2514521865080219,no_trend,-0.5,0.07633274037635718,decreasing,0.0,1.0,no_trend,0.10606060606060606,0.6807533824170628,no_trend,-0.09090909090909091,0.7317017232242102,no_trend,-0.13636363636363635,0.5832934499147817,no_trend,0.045454545454545456,0.8909161075445842,no_trend,0.0,1.0,no_trend,0.15151515151515152,0.5371338571769022,no_trend
1451000,57,27,1986-2024,-0.08831908831908832,0.5317037729644349,no_trend,-0.03133903133903134,0.8348627075364896,no_trend,-0.12535612535612536,0.37003002267186025,no_trend,0.13636363636363635,0.5832934499147817,no_trend,0.21212121212121213,0.37269149047151817,no_trend,0.13636363636363635,0.5832934499147817,no_trend,-0.42857142857142855,0.037497490815719736,decreasing,0.12087912087912088,0.5840703669455065,no_trend,0.054945054945054944,0.8266659696701553,no_trend,0.047619047619047616,1.0,no_trend,0.23809523809523808,0.5480055723613093,no_trend,-0.09523809523809523,0.8806164096519662,no_trend,0.01282051282051282,1.0,no_trend,-0.23076923076923078,0.2996654484343022,no_trend,-0.1282051282051282,0.5829505577618919,no_trend
6309200,43,22,1991-2024,-0.11688311688311688,0.4634692802376992,no_trend,0.2727272727272727,0.0804170004514182,increasing,-0.11688311688311688,0.4634692802376992,no_trend,-0.3333333333333333,0.4523703606773608,no_trend,0.3333333333333333,0.4523703606773608,no_trend,0.0,1.0,no_trend,0.11538461538461539,0.6254994799810465,no_trend,0.3076923076923077,0.16055589143580873,no_trend,0.0,1.0,no_trend,-0.6428571428571429,0.035447892552460836,decreasing,-0.07142857142857142,0.9015386266571279,no_trend,0.35714285714285715,0.2655103889538737,no_trend,-0.6111111111111112,0.028567681801513034,decreasing,0.3888888888888889,0.17530808080827365,no_trend,0.0,1.0,no_trend
14018500,60,25,1989-2024,-0.03666666666666667,0.8153345943552277,no_trend,0.22666666666666666,0.11763382782129739,no_trend,-0.23333333333333334,0.10707235212149269,no_trend,0.125,0.509843085670352,no_trend,0.11764705882352941,0.5366482363005154,no_trend,0.08823529411764706,0.6504631229507134,no_trend,-0.15384615384615385,0.5021582515007486,no_trend,-0.15384615384615385,0.5021582515007486,no_trend,0.0,1.0,no_trend,-0.03571428571428571,1.0,no_trend,-0.07142857142857142,0.9015386266571279,no_trend,0.0,1.0,no_trend,-0.5,0.028212301974598786,decreasing,0.45454545454545453,0.046744941053711075,increasing,0.030303030303030304,0.9453298708327,no_trend
4213075,42,17,1991-2024,-0.21323529411764705,0.24874887686356062,no_trend,0.19117647058823528,0.3030965324675494,no_trend,-0.13970588235294118,0.4584101521775037,no_trend,-0.2,0.80649594050734,no_trend,0.6,0.22067136191984682,no_trend,0.0,1.0,no_trend,-0.05555555555555555,0.9169652366288645,no_trend,-0.16666666666666666,0.6021675277481957,no_trend,0.0,1.0,no_trend,0.10714285714285714,0.8045709480174357,no_trend,0.5,0.10776229039192153,no_trend,-0.4642857142857143,0.13764584551826475,no_trend,-0.15555555555555556,0.5915050369949166,no_trend,0.2,0.4742743507673295,no_trend,-0.35555555555555557,0.17971249487899987,no_trend
